date,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,home_score,away_score,result
2000-02-13,Singapore,Japan,,1608.0,,5.0,2.0,3.7565947597481597,5.904010951068679,2.1474161913205196,3.0,4.0,4.0,10.0,0.8889,0.5926,0.5556,0.8519,1,3.0,0,3,A
2000-02-13,Syria,North Korea,,,,6.0,5.0,1.6010761310722703,6.3610910047118665,4.760014873639596,8.0,12.0,6.0,12.0,1.8148,1.0741,1.4074,1.3704,0,1.0,0,0,D
2000-02-14,Haiti,Peru,1410.0,,,7.0,8.0,-2.559192128307413,5.263548809528618,7.822740937836031,6.0,8.0,6.0,5.0,1.6296,1.0,1.0,0.963,1,1.5,1,1,D
2000-02-14,Jamaica,Honduras,,,,10.0,11.0,-2.6518145686691135,8.46929130968235,11.121105878351463,7.0,3.0,16.0,5.0,1.037,1.1481,1.5556,0.9259,1,1.5,0,2,A
2000-02-14,Kuwait,Bhutan,,,,8.0,0.0,9.248378500395205,9.248378500395205,0.0,13.0,5.0,3.0,21.0,2.2593,0.7037,0.2279,2.4501,0,3.0,20,0,H
2000-02-14,Turkmenistan,Nepal,,,,4.0,6.0,-1.2564711503881343,5.590519419379208,6.8469905697673425,4.0,13.0,5.0,9.0,1.0,1.5185,0.8519,1.8148,1,3.0,5,0,H
2000-02-15,Australia,Bulgaria,1746.0,,,5.0,6.0,-1.6172810057830107,4.201060176689798,5.818341182472809,5.0,4.0,6.0,5.0,1.3704,1.0,0.5556,0.9259,1,1.0,1,1,D
2000-02-15,Canada,South Korea,1567.0,1724.0,-157.0,11.0,7.0,2.6049475183984505,10.019401359162606,7.414453840764155,8.0,4.0,3.0,2.0,0.7037,0.8889,0.8148,0.8148,1,1.5,0,0,D
2000-02-15,Chile,Slovakia,,,,6.0,4.0,4.525240438780168,8.272010909587,3.7467704708068315,7.0,8.0,2.0,7.0,1.0,1.0,0.6667,0.7778,0,1.0,0,2,A
2000-02-15,Malaysia,Maldives,,,,9.0,9.0,1.9109199048751329,8.638908995288135,6.727989090413002,11.0,11.0,10.0,6.0,0.8519,1.2222,0.8148,2.5926,0,1.0,2,0,H
